synonyms	doi	model_treatment	msi_status	mutational_burden	ploidy	parent_id	mutation_data	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type	cancer_type_ncit_id	sampling_day	sample_treatment_details	tnm_integrated	species	HCMI
	10.1006/gyno.1997.4785	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C4270				Homo Sapiens	
			MSI	31.86666667	2.031825536		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Lymphoblastic Leukemia	C9143				Homo Sapiens	
			MSS	10.0	4.1390573		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4872				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C9133				Homo Sapiens	
			MSS	3.766666667	3.058202694		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C5543				Homo Sapiens	
	10.1046/j.1464-410x.2000.00247.x	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Kidney Carcinoma	C4033				Homo Sapiens	
			MSS	5.366666667	1.986638831		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
H1650_CO			MSS	3.533333333	1.991831895		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C2923				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C3850				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C6906				Homo Sapiens	
			MSS	7.833333333	4.332774355		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
	10.1007/BF00295491	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioma	C60781				Homo Sapiens	
	10.1002/ijc.2910350509	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C4646				Homo Sapiens	
			MSS	16.1	2.812988288		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Hodgkin's Lymphoma	C9357				Homo Sapiens	
			MSS	6.266666667	1.900867432		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C7700				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Head and Neck Carcinoma	C54244				Homo Sapiens	
	10.1111/1523-1747.ep12514693	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Cell Non-Hodgkin's Lymphoma	C9265		Unknown		Homo Sapiens	
			MSS	6.666666667	2.545159925		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Chronic Myelogenous Leukemia	C3174	1.0			Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	8.433333333	2.0048113		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Chronic Myelogenous Leukemia	C3174				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hodgkin's Lymphoma	C9357				Homo Sapiens	
		Transformed (SV40)	MSS				1.0	1.0	1.0	1.0	0.0	0.0	0.0	Non-Cancerous	C133340				Homo Sapiens	
	10.1002/(SICI)1097-0215(19970207)70:4<443::AID-IJC12>3.0.CO;2-G	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gastric Carcinoma	C4004				Homo Sapiens	
			MSS	14.93333333	3.028224795		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Other Solid Carcinomas	C4646				Homo Sapiens	
			MSS		3.184795162		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
			MSS	26.5	3.756108677		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
	10.1007/BF00046337	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C7712		Iodine-125 plaque.		Homo Sapiens	
HAL-1			MSS	9.466666667	1.961711895		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Lymphoblastic Leukemia	C8644				Homo Sapiens	
	10.1006/gyno.1996.0194						0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C7550				Homo Sapiens	
			MSS	15.2	2.177392196		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C35417				Homo Sapiens	
	10.1002/1097-0142(19930501)71:9<2862::AID-CNCR2820710930>3.0.CO;2-D	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C8715		Unknown		Homo Sapiens	
			MSI	19.86666667	2.010062975		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C9383				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bladder Carcinoma	C4912				Homo Sapiens	
			MSS	7.2	3.232636805		1.0	1.0	1.0	1.0	0.0	0.0	1.0	T-Cell Non-Hodgkin's Lymphoma	C3720				Homo Sapiens	
P31/Fujioka			MSI	22.73333333	2.043389623		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C3171				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
				4.133333333	2.867777468		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Chondrosarcoma	C2946				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
MDA-453	10.1007/BF02616120		MSS	21.9	4.199400705		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C5214	10.0			Homo Sapiens	
SJNB-12			MSS	8.066666667	3.67914337		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C9133				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	7.833333333	2.163915823		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
			MSS	12.36666667	2.639611731		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Esophageal Squamous Cell Carcinoma	C4024				Homo Sapiens	
			MSS	10.16666667	3.104376113		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Head and Neck Carcinoma	C34447				Homo Sapiens	
			MSS	5.5	3.772273878		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Rhabdomyosarcoma	C3359				Homo Sapiens	
			MSS	2.4	3.239650217		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
FLC-7;Functional Liver Cell-7			MSS	20.36666667	2.983507404		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Hepatocellular Carcinoma	C3099				Homo Sapiens	
	10.1290/1071-2690(2001)037<0625:EACONH>2.0.CO;2	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3716		Unknown		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3704				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Cell Non-Hodgkin's Lymphoma	C3466				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Esophageal Squamous Cell Carcinoma	C4024				Homo Sapiens	
			MSI	68.83333333	2.170906977		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Endometrial Carcinoma	C7359				Homo Sapiens	
Onda 11;Case 3			MSS	10.23333333	3.308391226		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
			MSS	8.933333333	2.653525376		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Gastric Carcinoma	C4004				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
MDA-175			MSS	10.2	3.627055354		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4194				Homo Sapiens	
			MSS	9.566666667	2.820343805		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C105555				Homo Sapiens	
NCI-SNU-503	10.1002/(SICI)1097-0215(19990611)81:6<902::AID-IJC11>3.0.CO;2-T						0.0	0.0	1.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C9383	18.0	5-FU		Homo Sapiens	
MM6			MSS	5.233333333	1.907482998		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C8263				Homo Sapiens	
			MSS	6.166666667	1.908634785		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C7700				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bladder Carcinoma	C4912				Homo Sapiens	
			MSS	10.63333333	3.2536742		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C4033				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C5105				Homo Sapiens	
				21.73333333	2.404999843		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
					3.11380254		0.0	0.0	1.0	0.0	0.0	0.0	1.0	Esophageal Squamous Cell Carcinoma	C4024				Homo Sapiens	
IARC-EW3			MSS	5.7	2.09375623		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ewing's Sarcoma	C4817	25.0			Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Breast Carcinoma	C4872				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
	10.1002/jcb.240630505	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Small Cell Lung Carcinoma	C3512	20.0			Homo Sapiens	
			MSS	10.83333333	3.514522943		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
	10.1182/blood.V69.5.1307.1307	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Cell Non-Hodgkin's Lymphoma	C27810				Homo Sapiens	
SUD6			MSS	10.43333333	1.991595624		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
			MSS	4.666666667	3.194381566		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
			MSS	11.46666667	1.739965647		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
	10.1002/jcb.240630505	Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168	26.0	Cis-platinum		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
NB19;NB19-RIKEN			MSS	6.566666667	1.994437367		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Endometrial Carcinoma	C7359				Homo Sapiens	
			MSS	5.0	1.997877943		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
			MSS	6.433333333	2.046391472		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Other Solid Carcinomas	C3486				Homo Sapiens	
NIH:OVCAR-5;OVCA5			MSS	4.933333333	2.384683288		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C105555				Homo Sapiens	
			MSS	14.13333333	2.128046045		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
			MSS	5.866666667	3.833744325		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
	10.1002/ijc.2910600115	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C9231				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C7712				Homo Sapiens	
			MSS	4.366666667	1.862779907		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Cervical Carcinoma	C27676				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mesothelioma	C45662				Homo Sapiens	
	10.1016/S0022-5347(17)45139-1	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bladder Carcinoma	C4912				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C4304				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Osteosarcoma	C9145				Homo Sapiens	
			MSS	11.26666667	3.410585218		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
			MSS	11.9	3.126441891		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hepatocellular Carcinoma	C3099				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
Jurkat RT3-T3.5						SIDM01244	1.0	1.0	1.0	1.0	0.0	0.0	1.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
	10.1002/ijc.2910260505	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Blood Cancers	C3163				Homo Sapiens	
KY180			MSS	16.4	2.604056952		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Esophageal Squamous Cell Carcinoma	C4024				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349				Homo Sapiens	
Panc 4.03;Pa17C;Pa017C;PL5			MSS	6.733333333	2.69742125		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C9120	3.0			Homo Sapiens	
HCC0827			MSS	6.3	2.843758412		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
		Adriamycin				SIDM00210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C7979				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	8.533333333	2.750624426		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Esophageal Carcinoma	C4025				Homo Sapiens	
	10.18926/AMO/31923		MSS	10.63333333	2.150686806		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	5.233333333	4.639966845		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C105555				Homo Sapiens	
			MSS	6.366666667	2.461243113		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
NT2-D1;NTERA-2 clone D1;NTERA-2/D1			MSS			SIDM01142	0.0	1.0	1.0	0.0	0.0	0.0	1.0	Other Solid Carcinomas	C3752				Homo Sapiens	
VL51			MSS	15.13333333	3.505262234		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C35425				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
			MSS	8.733333333	1.928838491		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C9381				Homo Sapiens	
			MSS	9.733333333	3.080373511		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C9383				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
	10.1007/BF02616140	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224	28.0			Homo Sapiens	
	10.1038/sj.onc.1203168	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3808				Homo Sapiens	
			MSS	8.833333333	3.15790765		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	12.1	3.318814201		1.0	1.0	1.0	1.0	0.0	0.0	1.0	T-Cell Non-Hodgkin's Lymphoma	C3720				Homo Sapiens	
			MSS	8.266666667	3.066261451		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioma	C60781				Homo Sapiens	
			MSS	11.76666667	2.926313201		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Oral Cavity Carcinoma	C34447				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Chronic Myelogenous Leukemia	C3174				Homo Sapiens	
			MSS	5.0	2.127862138		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ewing's Sarcoma	C4817				Homo Sapiens	
BT-B			MSS	5.2	2.966170305		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4194				Homo Sapiens	
					3.473284968		0.0	0.0	1.0	0.0	0.0	0.0	1.0	Ovarian Carcinoma	C5228				Homo Sapiens	
NCI-SNU-C2B			MSI	73.4	2.029176406		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C5543				Homo Sapiens	
HCC0202			MSS	12.0	2.918566224		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4017	5.0			Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Squamous Cell Lung Carcinoma	C3493				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hepatocellular Carcinoma	C3099				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous					Homo Sapiens	
			MSI	90.13333333	2.048255789	SIDM01238	1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Lymphoblastic Leukemia	C9140				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Lymphoblastic Leukemia	C9140				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
	10.1182/blood.V72.3.1029.1029	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Acute Myeloid Leukemia	C9154				Homo Sapiens	
			MSS	5.6	3.857897202		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
			MSS	5.166666667	2.175742387		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioma	C60781				Homo Sapiens	
	10.1136/jmg.2004.029686	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Small Cell Lung Carcinoma	C2926				Homo Sapiens	
	10.3389/fonc.2013.00183	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Rhabdomyosarcoma	C3749				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C105555				Homo Sapiens	
NCI-SNU-201	10.1290/1071-2690(2001)037<0625:EACONH>2.0.CO;2						0.0	0.0	1.0	0.0	0.0	0.0	0.0	Glioblastoma	C3058				Homo Sapiens	
	http://dx.doi.org/10.1016/S0145-2126(98)00154-4						0.0	1.0	1.0	0.0	0.0	0.0	1.0	Other Blood Cancers	C3163				Homo Sapiens	
			MSS	7.1	2.605256641		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
			MSS	7.033333333	3.416845222		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Chronic Myelogenous Leukemia	C3174				Homo Sapiens	
NCI-841			MSS	8.566666667	2.519937442		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
NCI-HUT-460;NCI-460			MSS	9.833333333	2.535303751		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C4450				Homo Sapiens	
OESO_121		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Esophageal Carcinoma	C4025	14.0	"Capecitabine
Epirubicin
Oxaliplatin"		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Cell Non-Hodgkin's Lymphoma	C3720				Homo Sapiens	
				6.3	2.510993088		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4872				Homo Sapiens	
		None					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Breast Carcinoma	C4872				Homo Sapiens	
	10.1002/1438-826X(200005)1:1<48::AID-GNFD48>3.0.CO;2-B	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
Mo 59J			MSS	4.733333333	4.239484529		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
			MSI	152.5	1.990416906		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Blood Cancers	C82217				Homo Sapiens	
	10.1046/j.1365-2141.1997.2143029.x	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Acute Myeloid Leukemia	C9154				Homo Sapiens	
OESO_095		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Esophageal Carcinoma	C4025	9.0		IIIA	Homo Sapiens	
	10.1290/1071-2690(2001)037<0625:EACONH>2.0.CO;2	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioma	C3288				Homo Sapiens	
			MSS	12.63333333	3.164201933		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
	10.1159/000112062	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hodgkin's Lymphoma	C9357		BEACOPP (32 Gy); 2 cycles of DHAP followed by BEAM; 3 cycles of rituximab, gemcitabine and dexamethasone.		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C5243				Homo Sapiens	
	10.1002/(SICI)1097-0215(19990611)81:6<902::AID-IJC11>3.0.CO;2-T						0.0	0.0	1.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	24.0			Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Esophageal Carcinoma	C4025	19.0	"Capecitabine
Cisplatin
Dexamethasone
Epirubicin"	IV	Homo Sapiens	
	10.1002/1438-826X(200005)1:1<48::AID-GNFD48>3.0.CO;2-B	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neuroblastoma	C4827				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neuroblastoma	C3270				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Endometrial Carcinoma	C7359				Homo Sapiens	
MDA-415			MSS	9.5	2.875075664		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C5214				Homo Sapiens	
			MSS	3.4	1.780476296		1.0	1.0	1.0	1.0	0.0	0.0	0.0	Other Solid Carcinomas	C129927	11.0			Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Breast Carcinoma	C5214		radiation, steroids, cytoxan and 5 fluorouracil		Homo Sapiens	
			MSS	11.46666667	2.848627258		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Biliary Tract Carcinoma	C35417				Homo Sapiens	
JHU-O29;HNSCC 029				11.6	2.234076327		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Head and Neck Carcinoma	C4044				Homo Sapiens	
SK-SH-SY5Y						SIDM01098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Neuroblastoma	C3270				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C5721				Homo Sapiens	
			MSS	17.96666667	3.505100292		1.0	1.0	0.0	1.0	0.0	0.0	0.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
HMV-2			MSS	14.0	2.738418649		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
			MSS				1.0	1.0	1.0	1.0	0.0	0.0	1.0	Osteosarcoma	C9145				Homo Sapiens	
	10.1111/j.1365-2141.1995.tb05207.x	Unknown				SIDM01424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Lymphoblastic Leukemia	C8644				Homo Sapiens	
	10.1093/jnci/djq279	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Small Cell Lung Carcinoma	C2926	15.0	Cis-platinum and Bleomycin		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	2.0		IIIC	Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	27.0		I	Homo Sapiens	
MZ-MEL-7	10.1073/pnas.0500090102		MSS	64.8	2.171677553		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
			MSS	6.633333333	2.861778616		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512		cytoxan, bleomycin and adriamycin		Homo Sapiens	
