NCIT	treatment_name	description	treatment_type	drug_name	NCIT_label
http://purl.obolibrary.org/obo/NCIT_C981	Decitabine	"A cytidine antimetabolite analogue with potential antineoplastic activity. Decitabine incorporates into DNA and inhibits DNA methyltransferase, resulting in hypomethylation of DNA and intra-S-phase arrest of DNA replication. (NCI04)"	Chemotherapy	Decitabine	Decitabine
http://purl.obolibrary.org/obo/NCIT_C105150	Denintuzumab Mafodotin	"An immunoconjugate consisting of an anti-CD19 monoclonal antibody conjugated to the auristatin derivative monomethyl auristatin F (MMAF), with potential antineoplastic activity. Upon administration of denintuzumab mafodotin, the antibody moiety targets the cell surface antigen CD19, found on a number of B-cell-derived cancers. Upon antibody/antigen binding and internalization, the immunoconjugate releases MMAF, which binds to tubulin and inhibits its polymerization. Inhibition of tubulin polymerization may result in G2/M phase arrest and tumor cell apoptosis. This causes inhibition of cell growth of CD19-expressing tumor cells. CD19, a B-cell antigen, is overexpressed by a variety of different cancer cell types."	Targeted therapy	Denintuzumab Mafodotin	Denintuzumab Mafodotin
http://purl.obolibrary.org/obo/NCIT_C61313	Denosumab	"A fully human monoclonal antibody directed against the receptor activator of nuclear factor kappa beta ligand (RANKL) with antiosteoclast activity. Denosumab specifically binds to RANKL and blocks the interaction of RANKL with RANK, a receptor located on osteoclast cell surfaces, resulting in inhibition of osteoclast activity, a decrease in bone resorption, and a potential increase in bone mineral density. RANKL, a protein expressed by osteoblastic cells, plays an important role in osteoclastic differentiation and activation."	Targeted therapy	Denosumab	Denosumab
http://purl.obolibrary.org/obo/NCIT_C160023	Denosumab Regimen	An immunotherapy regimen consisting of denosumab that may be used in the treatment of giant cell tumor (GCT) of the bone; and bone metastases from solid tumors and bone complications from plasma cell (multiple) myeloma.	Chemotherapy	Denosumab Regimen	Denosumab Regimen
http://purl.obolibrary.org/obo/NCIT_C422	Dexamethasone	"A synthetic adrenal corticosteroid with potent anti-inflammatory properties. In addition to binding to specific nuclear steroid receptors, dexamethasone also interferes with NF-kB activation and apoptotic pathways. This agent lacks the salt-retaining properties of other related adrenal hormones. (NCI04)"	Not provided	Dexamethasone	Dexamethasone
http://purl.obolibrary.org/obo/NCIT_C433	Diethylstilbestrol	"A synthetic, nonsteroidal form of estrogen. A well-known teratogen and carcinogen, diethylstilbestrol inhibits the hypothalamic-pituitary-gonadal axis, thereby blocking the testicular synthesis of testosterone, lowering plasma testosterone, and inducing a chemical castration."	Hormone therapy	Diethylstilbestrol	Diethylstilbestrol
http://purl.obolibrary.org/obo/NCIT_C78854	Dinaciclib	"A pyrazolo[1,5-a]pyrimidine with potential antineoplastic activity. Dinaciclib selectively inhibits cyclin dependent kinases CDK1, CDK2, CDK5, and CDK9; inhibition of CDK1 and CDK2 may result in cell cycle repression and tumor cell apoptosis."	Targeted therapy	Dinaciclib	Dinaciclib
http://purl.obolibrary.org/obo/NCIT_C1526	Docetaxel	"A semi-synthetic, second-generation taxane derived from a compound found in the European yew tree, Taxus baccata.  Docetaxel displays potent and broad antineoplastic properties; it binds to and stabilizes tubulin, thereby inhibiting microtubule disassembly which results in cell- cycle arrest at the G2/M phase and cell death.  This agent also inhibits pro-angiogenic factors such as vascular endothelial growth factor (VEGF) and displays immunomodulatory and pro-inflammatory properties by inducing various mediators of the inflammatory response.  Docetaxel has been studied for use as a radiation-sensitizing agent. (NCI04)"	Immunotherapy	Docetaxel	Docetaxel
http://purl.obolibrary.org/obo/NCIT_C456	Doxorubicin		Chemotherapy	Doxorubicin	Doxorubicin
http://purl.obolibrary.org/obo/NCIT_C74043	Dual IGF-1R/InsR Inhibitor BMS-754807	"An oral small molecule inhibitor of insulin-like growth factor 1 receptor (IGF-1R) and insulin receptor (InsR) tyrosine kinases with potential antineoplastic activity. Dual IGF-IR/InsR inhibitor BMS-754807 binds reversibly to and inhibits the activities of IGF-1R and InsR, which may result in the inhibition of tumor cell proliferation and the induction of tumor cell apoptosis. IGF-1R and InsR tyrosine kinases, overexpressed in a variety of human cancers, play significant roles in mitogenesis, angiogenesis, and tumor cell survival."	Targeted therapy	Dual IGF-1R/InsR Inhibitor BMS-754807	Dual IGF-1R/InsR Inhibitor BMS-754807
http://purl.obolibrary.org/obo/NCIT_C103194	Durvalumab	"A monoclonal antibody directed against B7H1 (B7 homolog 1; programmed cell death ligand 1) with potential immunostimulating activity. Upon intravenous administration, durvalumab binds to the cell surface antigen B7H1, thereby blocking B7H1 signaling. This may activate the immune system to exert a cytotoxic T-lymphocyte (CTL) response against B7H1-expressing tumor cells. B7H1, a member of the B7 protein superfamily and a negative regulator of cytokine synthesis, is overexpressed on certain tumor cell types."	Targeted therapy	Durvalumab	Durvalumab
http://purl.obolibrary.org/obo/NCIT_C47503	Dutasteride	"A synthetic 4-azasteroid compound. Dutasteride competitively and specifically binds to isoenzymes 1 and 2 of 5 alpha-reductase, forming stable enzyme complexes and inhibiting the conversion of testosterone to 5 alpha-dihydrotestosterone (DHT); the reduction in DHT activity may mitigate or prevent enlargement of the prostate gland. The type 2 5 alpha-reductase isoenzyme is primarily active in the reproductive tissues, while the type 1 isoenzyme is also active in skin and the liver."	Hormone therapy	Dutasteride	Dutasteride
http://purl.obolibrary.org/obo/NCIT_C63421	Cyclophosphamide/Epirubicin Regimen	"A chemotherapy regimen consisting of epirubicin and cyclophosphamide, used as a neoadjuvant or adjuvant treatment for breast cancer; also used for the treatment of recurrent and metastatic breast cancer."	Chemotherapy	Cyclophosphamide/Epirubicin Regimen	EC Regimen
http://purl.obolibrary.org/obo/NCIT_C73262	Elmustine	"A (2-chloroethy1)nitrosourea derivative related to carmustine, with antineoplastic activity."	Chemotherapy	Elmustine	Elmustine
http://purl.obolibrary.org/obo/NCIT_C173879	Encapsulated Rapamycin	"An orally bioavailable nanoparticle-based formulation composed of sub-micron particles of the macrolide antibiotic rapamycin incorporated into a pH-sensitive poly(methyl methacrylate) polymer, with potential immunomodulating and antineoplastic activities. Upon oral administration of the encapsulated rapamycin, the nanoparticle specifically delivers rapamycin at the tumor site. Rapamycin binds to the immunophilin FK Binding Protein-12 (FKBP-12) to generate a complex that binds to and inhibits the activation of the serine/threonine kinase mammalian target of rapamycin (mTOR), a key regulatory kinase. This may suppress mTORC1 activity. In addition, inhibition of mTOR may modulate central memory CD8 T cells, CD3+/CD56+ natural killer (NK) cells and CD8 T-cell responses. This may kill tumor cells. Compared to the administration of rapamycin alone, this formulation improves oral bioavailability of rapamycin with more consistent rapamycin levels, thereby allowing for administration of lower rapamycin dosage, which improves and minimizes rapamycin's toxicity. Upregulated in some tumors, mTOR is a serine/threonine kinase involved in regulating cellular proliferation, motility, and survival that is located downstream of the PI3K/Akt signaling pathway."	Targeted therapy	Encapsulated Rapamycin	Encapsulated Rapamycin
http://purl.obolibrary.org/obo/NCIT_C128799	Trastuzumab Deruxtecan	"An antibody-drug conjugate (ADC) composed of trastuzumab, a monoclonal antibody targeting human epidermal growth factor receptor 2 (ERBB2; EGFR2; HER2) conjugated to deruxtecan, a derivative of the camptothecin analog exatecan (DXd; DX-8951 derivative), a DNA topoisomerase 1 (topoisomerase I; Top1) inhibitor, with antineoplastic activity. Upon administration of trastuzumab deruxtecan, trastuzumab targets and binds to HER2 on tumor cells. Upon antibody/antigen binding and internalization, deruxtecan binds to and inhibits Top1-DNA complexes, which results in an inhibition of DNA replication, cell cycle arrest and tumor cell apoptosis. HER2, a tyrosine kinase receptor, is overexpressed by many cancer cell types. In addition, trastuzumab deruxtecan induces antibody-dependent cell-mediated cytotoxicity (ADCC) and causes a bystander killing effect."	Targeted therapy	Trastuzumab Deruxtecan	Enhertu
http://purl.obolibrary.org/obo/NCIT_C11252	Eniluracil/5-FU Combination Tablet	"A combination tablet of ethynyluracil and fluorouracil. Fluorouracil is an antimetabolite fluoropyrimidine analog of the nucleoside pyrimidine with antineoplastic activity. Ethynyluracil is an orally-active fluoropyrimidine analog that inhibits dihydropyrimidine dehydrogenase, the rate-limiting enzyme that catabolizes and inactivates 5-fluorouracil in the liver. This may lead to an increase in the bioavailability and, effectiveness of fluorouracil."	Targeted therapy	Eniluracil/5-FU Combination Tablet	Eniluracil/5-FU Combination Tablet
http://purl.obolibrary.org/obo/NCIT_C71744	Enzalutamide	"An orally bioavailable, organic, non-steroidal small molecule targeting the androgen receptor (AR) with potential antineoplastic activity. Through a mechanism that is reported to be different from other approved AR antagonists, enzalutamide inhibits the activity of prostate cancer cell ARs, which may result in a reduction in prostate cancer cell proliferation and, correspondingly, a reduction in the serum prostate specific antigen (PSA) level. AR over-expression in prostate cancer represents a key mechanism associated with prostate cancer hormone resistance."	Hormone therapy	Enzalutamide	Enzalutamide
http://purl.obolibrary.org/obo/NCIT_C62028	Epirubicin	"A 4'-epi-isomer of the anthracycline antineoplastic antibiotic doxorubicin.  Epirubicin intercalates into DNA and inhibits topoisomerase II, thereby inhibiting DNA replication and ultimately, interfering with RNA and protein synthesis.  This agent also produces toxic free-radical intermediates and interacts with cell membrane lipids causing lipid peroxidation."	Chemotherapy	Epirubicin	Epirubicin
http://purl.obolibrary.org/obo/NCIT_C1723	Cetuximab	"A recombinant, chimeric monoclonal antibody directed against the epidermal growth factor (EGFR) with antineoplastic activity. Cetuximab binds to the extracellular domain of the EGFR, thereby preventing the activation and subsequent dimerization of the receptor; the decrease in receptor activation and dimerization may result in an inhibition in signal transduction and anti-proliferative effects. This agent may inhibit EGFR-dependent primary tumor growth and metastasis. EGFR is overexpressed on the cell surfaces of various solid tumors."	Targeted therapy	Cetuximab	"Erbitux, Cetuximab"
http://purl.obolibrary.org/obo/NCIT_C103273	Erdafitinib	"An orally bioavailable, pan fibroblast growth factor receptor (FGFR) inhibitor with potential antineoplastic activity. Upon oral administration, erdafitinib binds to and inhibits FGFR, which may result in the inhibition of FGFR-related signal transduction pathways and thus the inhibition of tumor cell proliferation and tumor cell death in FGFR-overexpressing tumor cells. FGFR, upregulated in many tumor cell types, is a receptor tyrosine kinase essential to tumor cell proliferation, differentiation and survival."	Targeted therapy	Erdafitinib	Erdafitinib
http://purl.obolibrary.org/obo/NCIT_C103273	Erdafitinib	"An orally bioavailable, pan fibroblast growth factor receptor (FGFR) inhibitor with potential antineoplastic activity. Upon oral administration, erdafitinib binds to and inhibits FGFR, which may result in the inhibition of FGFR-related signal transduction pathways and thus the inhibition of tumor cell proliferation and tumor cell death in FGFR-overexpressing tumor cells. FGFR, upregulated in many tumor cell types, is a receptor tyrosine kinase essential to tumor cell proliferation, differentiation and survival."	Targeted therapy	Erdafitinib	Erdatitinib
http://purl.obolibrary.org/obo/NCIT_C96748	Eribulin	"An analogue of halichondrin B, a substance derived from a marine sponge (Lissodendoryx sp.) with antineoplastic activity. Eribulin binds to the vinca domain of tubulin and inhibits the polymerization of tubulin and the assembly of microtubules, resulting in inhibition of mitotic spindle assembly, induction of cell cycle arrest at G2/M phase, and, potentially, tumor regression."	Chemotherapy	Eribulin	Eribulin
http://purl.obolibrary.org/obo/NCIT_C26644	Eribulin Mesylate	"The mesylate salt of a synthetic analogue of halichondrin B, a substance derived from a marine sponge (Lissodendoryx sp.) with antineoplastic activity. Eribulin binds to the vinca domain of tubulin and inhibits the polymerization of tubulin and the assembly of microtubules, resulting in inhibition of mitotic spindle assembly, induction of cell cycle arrest at G2/M phase, and, potentially, tumor regression."	Chemotherapy	Eribulin Mesylate	Eribulin Mesylate
http://purl.obolibrary.org/obo/NCIT_C65530	Erlotinib		Targeted therapy	Erlotinib	Erlotinib
http://purl.obolibrary.org/obo/NCIT_C491	Etoposide	"A semisynthetic derivative of podophyllotoxin, a substance extracted from the mandrake root Podophyllum peltatum.  Possessing potent antineoplastic properties, etoposide binds to and inhibits topoisomerase II and its function in ligating cleaved DNA molecules, resulting in the accumulation of single- or double-strand DNA breaks, the inhibition of DNA replication and transcription, and apoptotic cell death.  Etoposide acts primarily in the G2 and S phases of the cell cycle. (NCI04)"	Chemotherapy	Etoposide	Etoposide
http://purl.obolibrary.org/obo/NCIT_C48387	Everolimus		Targeted therapy	Everolimus	Everolimus
http://purl.obolibrary.org/obo/NCIT_C71722	Evofosfamide	"A hypoxia-activated prodrug of the cytotoxin bromo-isophosphoramide mustard (Br-IPM) conjugated with 2-nitroimidazole, with potential antineoplastic activity. When exposed to hypoxic conditions, such as those found in hypoxic tumors, the 2-nitroimidazole moiety of evofosfamide is reduced. This releases the DNA-alkylating Br-IPM moiety, which introduces intra- and inter-strand DNA crosslinks in nearby cells; the crosslinks inhibit both DNA replication and cell division, and may lead to apoptosis of cells in the tumor. The inactive form of the prodrug is stable under normoxic conditions, which may limit systemic toxicity."	Chemotherapy	Evofosfamide	Evofosfamide
http://purl.obolibrary.org/obo/NCIT_C1097	Exemestane	"An irreversible steroidal aromatase inhibitor, with antiestrogen and antineoplastic activities. Upon oral administration, exemestane binds irreversibly to and inhibits the enzyme aromatase, thereby blocking the peripheral aromatization of androgens, including androstenedione and testosterone, to estrogens. This lowers estrogen levels in the blood circulation."	Hormone therapy	Exemestane	Exemestane
http://purl.obolibrary.org/obo/NCIT_C160035	Exemestane Regimen	A hormone therapy regimen consisting of exemestane that may be used in the treatment of breast cancer.	Chemotherapy	Exemestane Regimen	Exemestane Regimen
http://purl.obolibrary.org/obo/NCIT_C15751	External Beam Radiation Therapy	Radiation therapy in which high-energy beams are delivered to the tumor from outside of the body.	Radiation therapy	External Beam Radiation Therapy	External Beam Radiation Therapy
http://purl.obolibrary.org/obo/NCIT_C138099	FAC Regimen	"A chemotherapy regimen consisting of fluorouracil, doxorubicin and intravenous cyclophosphamide, used as a treatment for recurrent and metastatic breast cancer."	Chemotherapy	FAC Regimen	FAC Regimen
http://purl.obolibrary.org/obo/NCIT_C107239	FACT Complex-targeting Curaxin CBL0137	"An orally available curaxin-based agent targeting the Facilitates Chromatin Transcription (FACT) complex, with potential antineoplastic activity. Upon administration, CBL0137 binds to FACT and sequesters the FACT complex on chromatin, which inhibits its activity. This prevents transcription of certain genes involved in cancer-associated signaling pathways; it specifically inhibits the transcription of both NF-kappa B and heat shock transcription factor 1 (HSF1) and simultaneously activates p53. This causes an increase in tumor cell apoptosis and a decrease in tumor cell proliferation, in FACT-positive cancers. In addition, this agent is able to sensitize FACT-positive tumor cells to the cytotoxic effects of other chemotherapeutic agents. FACT, a transcription and replication factor composed of the Structure Specific Recognition Protein (SSRP1) and suppressor of Ty 16 (Spt16) proteins, is expressed in a variety of tumor cells while almost absent in normal cells; its expression is associated with increased tumor aggressiveness and poor prognosis."	Targeted therapy	FACT Complex-targeting Curaxin CBL0137	FACT Complex-targeting Curaxin CBL0137
http://purl.obolibrary.org/obo/NCIT_C107238	FAK Inhibitor VS-4718	"An orally bioavailable focal adhesion kinase (FAK) inhibitor with potential antineoplastic activity. Upon administration, VS-4718 inhibits FAK, blocks fibronectin-stimulated FAK autophosphorylation of Tyr397, and may prevent the integrin-mediated activation of several downstream signal transduction pathways, including ERK, JNK/MAPK and PI3K/Akt. This results in the reduction of the number of cancer stem cells (CSCs) and inhibits tumor cell migration, proliferation and survival. The cytoplasmic tyrosine kinase FAK is a signal transducer for integrins and is constitutively activated in various tumor cell types; it is involved in tumor cell invasion, migration and proliferation and plays a key role in the development, function and survival of CSCs."	Targeted therapy	FAK Inhibitor VS-4718	FAK Inhibitor VS-4718
http://purl.obolibrary.org/obo/NCIT_C9595	FEC Regimen	"A chemotherapy regimen consisting of fluorouracil, epirubicin and intravenous cyclophosphamide, used as a treatment for recurrent and metastatic breast cancer."	Chemotherapy	FEC Regimen	FEC Regimen
http://purl.obolibrary.org/obo/NCIT_C88272	FGFR Inhibitor AZD4547	"An orally bioavailable inhibitor of the fibroblast growth factor receptor (FGFR) with potential antineoplastic activity. FGFR inhibitor AZD4547 binds to and inhibits FGFR, which may result in the inhibition of FGFR-related signal transduction pathways, and, so, the inhibition of tumor cell proliferation and tumor cell death. FGFR, up-regulated in many tumor cell types, is a receptor tyrosine kinase essential to tumor cellular proliferation, differentiation and survival."	Targeted therapy	FGFR Inhibitor AZD4547	FGFR Inhibitor AZD4547
http://purl.obolibrary.org/obo/NCIT_C63388	FU-LV Regimen	"A regimen consisting of fluorouracil and leucovorin, used in both the adjuvant and metastatic disease setting, for the treatment of colorectal cancer. This regimen is also combined with radiation for the treatment of gastric and esophageal cancer."	Chemotherapy	FU-LV Regimen	FU-LV Regimen
http://purl.obolibrary.org/obo/NCIT_C1098	Fenretinide	"An orally-active synthetic phenylretinamide analogue of retinol (vitamin A) with potential antineoplastic and chemopreventive activities.  Fenretinide binds to and activates retinoic acid receptors (RARs), thereby inducing cell differentiation and apoptosis in some tumor cell types.  This agent also inhibits tumor growth by modulating angiogenesis-associated growth factors and their receptors and exhibits retinoid receptor-independent apoptotic properties. (NCI04)"	Chemotherapy	Fenretinide	Fenretinide
http://purl.obolibrary.org/obo/NCIT_C504	Floxuridine	"A fluorinated pyrimidine monophosphate analogue of 5-fluoro-2'-deoxyuridine-5'-phosphate (FUDR-MP) with antineoplastic activity. As an antimetabolite, floxuridine inhibits thymidylate synthase, resulting in disruption of DNA synthesis and cytotoxicity. This agent is also metabolized to fluorouracil and other metabolites that can be incorporated into RNA and inhibit the utilization of preformed uracil in RNA synthesis. (NCI04)"	Chemotherapy	Floxuridine	Floxuridine
http://purl.obolibrary.org/obo/NCIT_C505	Fluorouracil	"An antimetabolite fluoropyrimidine analog of the nucleoside pyrimidine with antineoplastic activity. Fluorouracil and its metabolites possess a number of different mechanisms of action. In vivo, fluoruracil is converted to the active metabolite 5-fluoroxyuridine monophosphate (F-UMP); replacing uracil, F-UMP incorporates into RNA and inhibits RNA processing, thereby inhibiting cell growth. Another active metabolite, 5-5-fluoro-2'-deoxyuridine-5'-O-monophosphate (F-dUMP), inhibits thymidylate synthase, resulting in the depletion of thymidine triphosphate (TTP), one of the four nucleotide triphosphates used in the in vivo synthesis of DNA. Other fluorouracil metabolites incorporate into both RNA and DNA; incorporation into RNA results in major effects on both RNA processing and functions."	Chemotherapy	Fluorouracil	Fluorouracil
http://purl.obolibrary.org/obo/NCIT_C509	Flutamide	"A toluidine derivative and a nonsteroidal antiandrogen that is structurally related to bicalutamide and nilutamide. Flutamide and its more potent active metabolite 2-hydroxyflutamide competitively block dihydrotestosterone binding at androgen receptors, forming inactive complexes which cannot translocate into the cell nucleus. Formation of inactive receptors inhibits androgen-dependent DNA and protein synthesis, resulting in tumor cell growth arrest or transient tumor regression. (NCI04)"	Hormone therapy	Flutamide	Flutamide
http://purl.obolibrary.org/obo/NCIT_C113176	Folate Receptor-Targeted Tubulysin Conjugate EC1456	"An injectable targeted small molecule drug conjugate (SMDC) consisting of folate (vitamin B9) covalently linked to the potent mitotic poison and cytotoxic agent, tubulysin B hydrazide (Tub-B-H) with potential antineoplastic activity. Upon administration, the folate moiety of folate receptor-targeted tubulysin conjugate EC1456 preferentially binds to tumor cells expressing folate receptors (FR). After binding to FR, the agent is internalized by tumor cells and the Tub-B-H moiety inhibits the polymerization of tubulin into microtubules. This may lead to both cell cycle arrest and tumor cell apoptosis. FR, the membrane-bound, high-affinity receptor for folate, is overexpressed on a wide range of primary and metastatic human cancers."	Targeted therapy	Folate Receptor-Targeted Tubulysin Conjugate EC1456	Folate Receptor-Targeted Tubulysin Conjugate EC1456
http://purl.obolibrary.org/obo/NCIT_C510	Folic Acid	"A collective term for pteroylglutamic acids and their oligoglutamic acid conjugates. As a natural water-soluble substance, folic acid is involved in carbon transfer reactions of amino acid metabolism, in addition to purine and pyrimidine synthesis, and is essential for hematopoiesis and red blood cell production. (NCI05)"	Not provided	Folic Acid	Folic Acid
http://purl.obolibrary.org/obo/NCIT_C1379	Fulvestrant	"A synthetic estrogen receptor antagonist.  Unlike tamoxifen (which has partial agonist effects) and the aromatase inhibitors (which reduce the estrogen available to tumor cells), fulvestrant binds competitively to estrogen receptors in breast cancer cells, resulting in estrogen receptor deformation and decreased estrogen binding. In vitro studies indicate that fulvestrant reversibly inhibits the growth of tamoxifen-resistant, estrogen-sensitive, human breast cancer cell lines. (NCI04)"	Hormone therapy	Fulvestrant	Fulvestrant
http://purl.obolibrary.org/obo/NCIT_C88333	Gamma-Secretase Inhibitor RO4929097	"An orally bioavailable, small-molecule gamma secretase (GS) inhibitor with potential antitumor activity. Gamma secretase inhibitor RO4929097 binds to GS and blocks activation of Notch receptors, which may inhibit tumor cell proliferation. The integral membrane protein GS is a multi-subunit protease complex that cleaves single-pass transmembrane proteins, such as Notch receptors, at residues within their transmembrane domains. Overexpression of the Notch signaling pathway has been correlated with increased tumor cell growth."	Targeted therapy	Gamma-Secretase Inhibitor RO4929097	Gamma-Secretase Inhibitor RO4929097
http://purl.obolibrary.org/obo/NCIT_C77872	Ganetespib	"A synthetic small-molecule inhibitor of heat shock protein 90 (Hsp90) with potential antineoplastic activity. Ganetespib binds to and inhibits Hsp90, resulting in the proteasomal degradation of oncogenic client proteins, the inhibition of cell proliferation and the elevation of heat shock protein 72 (Hsp72); it may inhibit the activity of multiple kinases, such as c-Kit, EGFR, and Bcr-Abl, which as client proteins depend on functional HsP90 for maintenance. Hsp90, a 90 kDa molecular chaperone upregulated in a variety of tumor cells, plays a key role in the conformational maturation, stability and function of ""client"" proteins within the cell, many of which are involved in signal transduction, cell cycle regulation and apoptosis, including kinases, transcription factors and hormone receptors.  Hsp72 exhibits anti-apoptotic functions; its up-regulation may be used as a surrogate marker for Hsp90 inhibition."	Targeted therapy	Ganetespib	Ganetespib
http://purl.obolibrary.org/obo/NCIT_C61493	Gebasaxturev	"A preparation of naturally occurring, oncolytic enterovirus, with potential antineoplastic activity. Upon administration, gebasaxturev targets and binds to intracellular adhesion molecule 1 (ICAM-1) and decay acceleration factor (DAF), both cell surface molecules that are overexpressed on certain malignant cells. After entering the cells, gebasaxturev replicates in these cancer cells, thereby causing cancer cell lysis. This results in a reduction of tumor cell growth."	Immunotherapy	Gebasaxturev	Gebasaxturev
http://purl.obolibrary.org/obo/NCIT_C91732	Gedatolisib	"An agent targeting the phosphatidylinositol 3 kinase (PI3K) and mammalian target of rapamycin (mTOR) in the PI3K/mTOR signaling pathway, with potential antineoplastic activity. Upon intravenous administration, gedatolisib inhibits both PI3K and mTOR kinases, which may result in apoptosis and growth inhibition of cancer cells overexpressing PI3K/mTOR. Activation of the PI3K/mTOR pathway promotes cell growth, survival, and resistance to chemotherapy and radiotherapy; mTOR, a serine/threonine kinase downstream of PI3K, may also be activated independent of PI3K."	Targeted therapy	Gedatolisib	Gedatolisib
http://purl.obolibrary.org/obo/NCIT_C1855	Gefitinib	"An anilinoquinazoline with antineoplastic activity. Gefitinib inhibits the catalytic activity of numerous tyrosine kinases including the epidermal growth factor receptor (EGFR), which may result in inhibition of tyrosine kinase-dependent tumor growth. Specifically, this agent competes with the binding of ATP to the tyrosine kinase domain of EGFR, thereby inhibiting receptor autophosphorylation and resulting in inhibition of signal transduction. Gefitinib may also induce cell cycle arrest and inhibit angiogenesis. (NCI04)"	Targeted therapy	Gefitinib	Gefitinib
http://purl.obolibrary.org/obo/NCIT_C66876	Gemcitabine		Chemotherapy	Gemcitabine	Gemcitabine
http://purl.obolibrary.org/obo/NCIT_C78449	Glembatumumab Vedotin	"An antibody-drug conjugate, consisting of the fully human monoclonal antibody CR011 directed against glycoprotein NMB (GPNMB) and conjugated via a cathepsin B-sensitive valine-citrulline (vc) linkage to the cytotoxic agent monomethyl auristatin E (MMAE), with potential antineoplastic activity. Upon administration, the monoclonal antibody CR011 moiety binds to glycoprotein nmb (GPNMB), expressed on the surfaces of a variety of cancer cell types; upon endocytosis, the synthetic dolastin analogue MMAE is released via enzymatic cleavage into the tumor cell cytosol, where it binds to tubulin and inhibits tubulin polymerization, which may result in G2/M phase arrest and apoptosis. The vc linkage system is highly stable in serum, rendering the cytotoxicity of glembatumumab vedotin specific for GPNMB-positive cells. GPNMB is a transmembrane protein overexpressed on the surfaces of various cancer cell types, including melanoma, breast, and prostate cancer cells."	Targeted therapy	Glembatumumab Vedotin	Glembatumumab Vedotin
http://purl.obolibrary.org/obo/NCIT_C156774	Golidocitinib	"An orally available inhibitor of Janus-associated kinase 1 (JAK1), with potential antineoplastic activity. Upon oral administration, golidocitinib inhibits JAK-dependent signaling and may lead to an inhibition of cellular proliferation in JAK1-overexpressing tumor cells. The JAK-STAT (signal transducer and activator of transcription) signaling pathway is a major mediator of cytokine activity and is often dysregulated in a variety of tumor cell types. Additionally, JAK1 may be a primary driver of STAT3 phosphorylation and signaling, which plays a role in neoplastic transformation, resistance to apoptosis, tumor angiogenesis, metastasis, immune evasion, and treatment resistance."	Immunotherapy	Golidocitinib	Golidocitinib
http://purl.obolibrary.org/obo/NCIT_C1910	Gonadotropin-releasing Hormone Analog	"A synthetic analogue of the endogenous hormone gonadotropin-releasing hormone (GnRH), with potential antineoplastic activity. Upon administration, GnRH analogue mimics endogenous GnRH and strongly binds to and activates pituitary GnRH receptors, which stimulates the synthesis and secretion of the gonadotropic hormones, follicle stimulating hormone (FSH) and luteinizing hormone (LH). Continuous, prolonged activation by the GnRH analogue results in pituitary GnRH receptor desensitization and receptor downregulation. This causes inhibition of pituitary gonadotropin secretion of LH and FSH. In males, the inhibition of LH secretion prevents the production and release of testosterone from Leydig cells in the testes and causes a significant decline in testosterone production that is near the levels seen after castration. This may inhibit androgen receptor-positive tumor progression. In females, this results in a decrease in estradiol production. GnRH, also called luteinizing hormone-releasing hormone (LH-RH), is normally synthesized in and secreted by the hypothalamus. Synthetic analogues of GnRH have a stronger receptor binding affinity than the endogenous form."	Hormone therapy	Gonadotropin-releasing Hormone Analog	Gonadotropin-releasing Hormone Analog
http://purl.obolibrary.org/obo/NCIT_C1374	Goserelin	"A synthetic decapeptide analog of luteinizing hormone-releasing hormone (LHRH) with antineoplastic activity. Goserelin binds to and activates pituitary gonadotropin releasing hormone (GnRH) receptors. Prolonged administration of goserelin inhibits the secretion of pituitary gonadotropin, thereby decreasing levels of testosterone (in males) and estradiol (in females).  Administration of this agent in a depot formulation may result in the regression of sex hormone-sensitive tumors and a reduction in sex organ size and function. (NCI04)"	Hormone therapy	Goserelin	Goserelin
http://purl.obolibrary.org/obo/NCIT_C1417	Goserelin Acetate	"The acetate salt of a synthetic decapeptide analog of luteinizing hormone-releasing hormone (LHRH).  Continuous, prolonged administration of goserelin in males results in inhibition of pituitary gonadotropin secretion, leading to a significant decline in testosterone production; in females, prolonged administration results in a decrease in estradiol production. (NCI04)"	Hormone therapy	Goserelin Acetate	Goserelin Acetate
http://purl.obolibrary.org/obo/NCIT_C116867	HDM2 Inhibitor MK-8242	"An orally bioavailable inhibitor of human homolog of double minute 2 (HDM2), with potential antineoplastic activity. Upon oral administration, HDM2 inhibitor MK-8242 inhibits the binding of the HDM2 protein to the transcriptional activation domain of the tumor suppressor protein p53. By preventing this HDM2-p53 interaction, the degradation of p53 is inhibited, which may result in the restoration of p53 signaling. This induces p53-mediated tumor cell apoptosis. HDM2 is a member of the RING finger-type family of E3 ubiquitin protein ligases and targets p53 for degradation; it is often overexpressed in cancer cells and has been implicated in cancer cell proliferation and survival."	Targeted therapy	HDM2 Inhibitor MK-8242	HDM2 Inhibitor MK-8242
http://purl.obolibrary.org/obo/NCIT_C116325	Siremadlin	"An orally bioavailable human double minute 2 homolog (HDM2) inhibitor with potential antineoplastic activity. Siremadlin inhibits the binding of the HDM2 protein to the transcriptional activation domain of the tumor suppressor protein p53. By preventing this HDM2-p53 interaction, the proteasome-mediated enzymatic degradation of p53 is inhibited, which may result in the restoration of both p53 signaling and p53-mediated induction of tumor cell apoptosis. HDM2, a zinc finger protein and negative regulator of the p53 pathway, is often overexpressed in cancer cells and has been implicated in cancer cell proliferation and survival."	Targeted therapy	Siremadlin	HDM201
