model_id,passage_range,treatment_name,treatment_type,treatment_dose,administration_route,treatment_schedule,treatment_length,treatment_response,response_classification,platform_id,provider
NIBRX-2043,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2997,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4226,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3052,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4377,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4378,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3028,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2564,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4018,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4649,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1948,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2684,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3846,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3947,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3038,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2081,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3816,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3782,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3898,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4015,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1959,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-2339,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-1199,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-1317,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-2428,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-3990,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-4927,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-4676,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,complete response,,drugdosing,DFCI-CPDM
NIBRX-3800,,BKM120 + binimetinib,treatment,"30, 3.5 mg/kg","oral, oral","daily, twice per day",,complete response,,drugdosing,DFCI-CPDM
NIBRX-2700,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4426,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4455,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2602,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3127,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3880,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2613,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4668,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4849,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,partial response,,drugdosing,DFCI-CPDM
NIBRX-2163,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3486,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4339,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3746,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4832,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3676,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2921,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,complete response,,drugdosing,DFCI-CPDM
NIBRX-4644,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3503,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4538,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1655,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3773,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2306,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2753,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1906,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4157,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4530,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3211,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,complete response,,drugdosing,DFCI-CPDM
NIBRX-2838,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5189,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2723,,BKM120 + encorafenib,treatment,"30, 20 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5205,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1948,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2564,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2997,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4226,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4316,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2081,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3052,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4927,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3268,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2043,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2684,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3846,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4215,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1362,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3028,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-1199,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3990,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3038,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-4377,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-4676,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4378,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3947,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4015,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4018,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1317,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,partial response,,drugdosing,DFCI-CPDM
NIBRX-2428,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,partial response,,drugdosing,DFCI-CPDM
NIBRX-3800,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,partial response,,drugdosing,DFCI-CPDM
NIBRX-3898,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,partial response,,drugdosing,DFCI-CPDM
NIBRX-4649,,BKM120 + LDE225,treatment,"30, 60 mg/kg","oral, oral","daily, daily",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3792,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-0933,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1119,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1173,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1270,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1536,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3267,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2145,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3205,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5405,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3093,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1027,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1167,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2374,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2483,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2659,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2822,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2861,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1329,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1055,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-1441,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-5494,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-5495,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2403,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1500,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-5254,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5438,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2182,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1479,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2484,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2846,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2239,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3224,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1290,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1443,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1855,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5578,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-5446,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4087,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2538,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2573,,BKM120 + LJC049,treatment,"30, 30 mg/kg","oral, subcutaneous","daily, twice per day",,partial response,,drugdosing,DFCI-CPDM
NIBRX-1298,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1371,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1407,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1383,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2780,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1004,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1921,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1600,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2640,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1631,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2353,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3450,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3697,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5355,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1828,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4824,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4949,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2344,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2487,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1286,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1832,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2524,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1468,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4888,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5502,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3078,,BYL719,treatment,50 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2195,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3298,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3873,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5975,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-6047,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1008,,BYL719,treatment,50 mg/kg,oral,daily,,partial response,,drugdosing,DFCI-CPDM
NIBRX-3077,,BYL719,treatment,50 mg/kg,oral,daily,,partial response,,drugdosing,DFCI-CPDM
NIBRX-4347,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5249,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4567,,BYL719,treatment,50 mg/kg,oral,daily,,complete response,,drugdosing,DFCI-CPDM
NIBRX-3201,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3468,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1916,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1119,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1173,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1536,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3792,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1270,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3267,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1055,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1303,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1441,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5438,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5495,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3093,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1027,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1167,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2145,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2374,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2483,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2659,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2822,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2861,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3205,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1329,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1538,,BYL719,treatment,50 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2403,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-0933,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1500,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5254,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5405,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5494,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2182,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1479,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2484,,BYL719,treatment,50 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
